url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
albrandswaard.nl,26900,115534,62,41,10,230,4.9273458,2.0138168,0.9584449,0,4.4964056
awti.nl,49000,236210,36,58,13,70,4.6185226,7.2279377,3.5913343,0.000061,17.246864
awti.nl,49000,236210,36,58,13,70,4.1611924,3.6788864,1.653996,0,7.466982
awti.nl,49000,236210,36,58,13,70,4.1136665,3.6864812,1.6890129,0.000061,7.337281
awti.nl,49000,236210,36,58,13,70,4.145378,3.617092,1.7177262,0,7.7257614
awti.nl,49000,236210,36,58,13,70,4.121986,3.5343356,1.6177037,0,7.347473
belcombinatie.nl,23000,123727,63,22,5,146,4.2621894,2.1670148,1.0411716,0,4.7738333
belcombinatie.nl,23000,123727,63,22,5,146,4.2983475,3.342301,1.2028475,0,6.932308
belcombinatie.nl,23000,123727,63,22,5,146,4.2576666,2.216753,1.1264241,0.000183,4.972781
belcombinatie.nl,23000,123727,63,22,5,146,4.250001,1.9544504,0.94571984,0,4.3046846
belcombinatie.nl,23000,123727,63,22,5,146,4.2635603,1.7189372,0.9239127,0,4.301613
wsd-groep.nl,16770,85735,66,30,34,357,5.016234,6.728038,3.318017,0,14.458908
wsd-groep.nl,16770,85735,66,30,34,357,4.908866,6.2809825,3.0364594,0.000122,13.105683
wsd-groep.nl,16770,85735,66,30,34,357,4.9151855,6.3114185,2.926764,0,12.714686
wsd-groep.nl,16770,85735,66,30,34,357,5.040562,6.1865845,3.0155835,0,12.647327
wsd-groep.nl,16770,85735,66,30,34,357,4.8679504,5.856987,2.9043546,0.000061,11.928
wrr.nl,55560,267892,36,59,17,105,4.1245184,3.343993,1.3339689,0,6.7785625
wrr.nl,55560,267892,36,59,17,105,4.0805817,3.4239845,1.2027926,0.000122,7.171028
wrr.nl,55560,267892,36,59,17,105,4.0821347,2.930327,1.063588,0,5.479596
wrr.nl,55560,267892,36,59,17,105,4.1493964,2.9090855,1.1481333,0,5.4343405
wrr.nl,55560,267892,36,59,17,105,4.0956535,2.7476337,1.0477695,0.000122,5.1953773
horstaandemaas.nl,27598,192386,47,17,11,73,4.4989424,2.7108586,1.6346204,0,6.674552
horstaandemaas.nl,27598,192386,47,17,11,73,4.458539,2.9533074,1.6371857,0.000122,6.714323
horstaandemaas.nl,27598,192386,47,17,11,73,4.458704,3.0232165,1.6198819,0,6.9951553
horstaandemaas.nl,27598,192386,47,17,11,73,4.4558806,2.8508177,1.5764008,0,6.502302
horstaandemaas.nl,27598,192386,47,17,11,73,4.4536705,2.7198043,1.5594774,0.000122,5.8828964
bhic.nl,26069,162335,30,21,8,68,4.8997116,3.5414808,1.4604049,0,8.535105
bhic.nl,26069,162335,30,21,8,68,4.7896657,2.9564865,1.2549062,0.000122,6.6574087
bhic.nl,26069,162335,30,21,8,68,4.8624387,2.6940024,1.175708,0,5.7857018
bhic.nl,26069,162335,30,21,8,68,4.9043064,2.962282,1.2891419,0.000184,6.4609747
bhic.nl,26069,162335,30,21,8,68,4.8068447,2.7023494,1.2012992,0,5.738924
noordenveld.nl,67582,67282,12,4,3,86,4.088094,1.0021183,0.43113446,0.000122,3.0582619
noordenveld.nl,67582,67282,12,4,3,86,4.0725555,0.75156045,0.24823135,0,1.7538433
noordenveld.nl,67582,67282,12,4,3,86,4.076543,1.3364775,0.33440435,0,3.2125006
noordenveld.nl,67582,67282,12,4,3,86,4.078046,0.49177694,0.191181,0.000183,1.3024464
noordenveld.nl,67582,67282,12,4,3,86,4.075371,0.519119,0.22097516,0,1.3404675
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,768,468,0,0,0,0,4.031139,0.4030583,0.15937173,0,1.6711798
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,768,468,0,0,0,0,4.034547,0.88785386,0.2617044,0.000244,2.3500528
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,768,468,0,0,0,0,4.0336237,0.40182996,0.12686694,0,1.2273903
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,768,468,0,0,0,0,4.0404367,0.28005576,0.083058715,0,0.96014404
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,768,468,0,0,0,0,4.033313,0.77866125,0.1576857,0.000183,1.9469271
middendelfland.nl,39733,248360,51,24,11,152,4.3376656,2.2074325,1.032088,0,4.7077837
middendelfland.nl,39733,248360,51,24,11,152,4.3644238,2.498582,1.246963,0.000122,6.296303
middendelfland.nl,39733,248360,51,24,11,152,4.348349,1.9447544,1.0422485,0,4.0869913
middendelfland.nl,39733,248360,51,24,11,152,4.3312545,1.9645276,1.0834506,0,4.7240124
middendelfland.nl,39733,248360,51,24,11,152,4.3109274,1.9767573,1.0854585,0.000061,4.244215
stimuleringsfonds.nl,26311,152726,75,8,21,140,4.2537246,2.3981047,1.2881058,0,6.1077595
stimuleringsfonds.nl,26311,152726,75,8,21,140,4.2501354,3.1446745,1.4682767,0.000122,6.773095
stimuleringsfonds.nl,26311,152726,75,8,21,140,4.281675,2.174633,1.2000262,0,4.75576
stimuleringsfonds.nl,26311,152726,75,8,21,140,4.239595,2.429549,1.2929897,0,5.737275
stimuleringsfonds.nl,26311,152726,75,8,21,140,4.253994,3.038446,1.4611508,0.000183,6.2008276
achtkarspelen.nl,35861,228798,65,26,6,165,4.3434343,2.900606,1.326731,0,6.630682
achtkarspelen.nl,35861,228798,65,26,6,165,4.3415933,2.5266368,1.3256693,0.000061,6.0728416
achtkarspelen.nl,35861,228798,65,26,6,165,4.3465657,2.0358992,1.1187521,0,4.779005
achtkarspelen.nl,35861,228798,65,26,6,165,4.369623,2.690141,1.2484376,0,5.814391
achtkarspelen.nl,35861,228798,65,26,6,165,4.3485274,2.1460037,1.1564114,0.000122,4.80529
vngoverijssel.nl,26515,26215,22,4,9,21,5.227231,6.6550665,4.306328,0,15.549822
vngoverijssel.nl,26515,26215,22,4,9,21,4.07495,3.2405536,2.0783482,0.000244,7.5915327
vngoverijssel.nl,26515,26215,22,4,9,21,4.0836787,3.3988328,2.0546312,0,7.350688
vngoverijssel.nl,26515,26215,22,4,9,21,4.0817003,3.1045954,2.025764,0,7.2619457
vngoverijssel.nl,26515,26215,22,4,9,21,4.0859838,3.359381,2.0778239,0.000123,7.3761034
raadvoorcultuur.nl,52698,249577,25,57,10,86,4.142496,3.0578876,1.1799939,0,7.545557
raadvoorcultuur.nl,52698,249577,25,57,10,86,4.085215,3.0663803,1.1410186,0.000244,6.034299
raadvoorcultuur.nl,52698,249577,25,57,10,86,4.1107917,2.9250042,1.1311381,0,6.0633087
raadvoorcultuur.nl,52698,249577,25,57,10,86,4.1291757,3.1352391,1.1062365,0,6.298024
raadvoorcultuur.nl,52698,249577,25,57,10,86,4.15634,3.0792258,1.2422398,0.000061,5.4480143
haarlemmermeer.nl,4739,4439,10,1,4,5,4.077879,0.48095083,0.19353098,0,1.7716188
haarlemmermeer.nl,4739,4439,10,1,4,5,4.0391645,1.0884867,0.31992823,0.000122,2.6821146
haarlemmermeer.nl,4739,4439,10,1,4,5,4.0404415,1.1662209,0.24064982,0,2.3663826
haarlemmermeer.nl,4739,4439,10,1,4,5,4.038907,1.0345001,0.2882371,0,2.682767
haarlemmermeer.nl,4739,4439,10,1,4,5,4.12509,0.5450151,0.20410472,0.000244,1.7771158
t-diel.nl,35825,227820,65,26,5,174,4.258629,2.1754713,1.2086424,0,6.2828455
t-diel.nl,35825,227820,65,26,5,174,4.3416715,2.1164358,1.1780726,0,4.760144
