Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Go,send-static-file,2.02614975,7.26494169,5.74273968,0.13190356,23.56491280
Go,send-static-file,2.03181744,7.29696178,5.72387648,0.13279216,23.58602905
Go,send-static-file,2.02934861,7.26686859,5.75585556,0.13392924,23.52794456
Go,send-static-file,2.02133727,7.21456146,5.70262241,0.13606676,23.47976685
Go,send-static-file,2.04266500,7.29721928,5.76700735,0.13659190,23.50413513
Go,send-static-file,2.03285480,7.27610540,5.74953222,0.13729317,23.52167511
Go,send-static-file,2.00050497,7.12841034,5.65399599,0.13596100,23.39201355
Go,send-static-file,2.01017213,7.16483307,5.67185116,0.14008394,23.43722916
Go,send-static-file,2.04702950,7.37219620,5.78275585,0.13939360,23.59008217
Go,send-static-file,2.07569695,7.40742588,5.85551786,0.14011154,23.44507599
Go,send-static-file,2.01937819,7.18400288,5.69701481,0.13762198,23.38952065
Go,send-static-file,2.03491116,7.27055550,5.76782560,0.13719946,23.48674774
Go,send-static-file,2.05124855,7.39900732,5.79943275,0.13890153,25.67628860
Go,send-static-file,2.00341940,7.16479445,5.71871471,0.13249806,21.35555267
Go,send-static-file,2.01483965,7.22637463,5.73096609,0.13378596,23.55388451
Go,send-static-file,2.01108527,7.26319790,5.72101831,0.13268486,23.68559647
Go,send-static-file,2.00043750,7.13480473,5.65974092,0.13114005,23.64213371
Go,send-static-file,2.01361060,7.23405600,5.71301985,0.13301191,23.58733177
Go,send-static-file,2.01383185,7.16869259,5.67765903,0.13410750,23.64943695
Go,send-static-file,2.02721548,7.21065378,5.72896481,0.13432813,23.46925735
Go,send-static-file,2.04749298,7.33140182,5.82323742,0.13633445,23.43300247
Go,send-static-file,2.01205301,7.16243744,5.68033504,0.13181594,23.40261650
Go,send-static-file,2.01539087,7.20234394,5.72602892,0.13267946,23.39664841
Go,send-static-file,2.02617335,7.26789474,5.75451708,0.13330621,23.50237083
Go,send-static-file,2.01121521,7.19279575,5.67669392,0.13274385,23.59161377
Go,send-static-file,2.05403304,7.38561916,5.83663702,0.13629460,23.76506042
Go,send-static-file,1.99130893,7.13632250,5.64903498,0.13128081,23.68970490
Go,send-static-file,2.03970695,7.39066505,5.76821136,0.13474651,23.88442421
Go,send-static-file,2.03844762,7.34614849,5.79036856,0.13506992,23.79292488
Go,send-static-file,2.02729678,7.28254271,5.76130438,0.13408287,23.59411240
Go,send-static-file,2.02621222,7.24756718,5.75683355,0.13293961,23.56480217
Go,send-static-file,2.05015635,7.46731615,5.81968117,0.13409638,23.80324173
Go,send-static-file,1.99139428,7.14466763,5.64493704,0.13073049,23.68955231
Go,send-static-file,2.02704024,7.31231785,5.75534868,0.13353783,23.84457016
Go,send-static-file,2.02134728,7.26282406,5.73704433,0.13283162,23.66724968
Go,send-static-file,2.04836988,7.37825012,5.82717943,0.13516092,23.65018463
Go,send-static-file,2.04190493,7.36022568,5.80718088,0.13434562,23.72424316
Go,send-static-file,2.02739143,7.27036476,5.77740860,0.13554642,23.50019264
Go,send-static-file,2.04480839,7.35152483,5.79792500,0.13448384,23.59405327
Go,send-static-file,2.01972198,7.26687670,5.74159813,0.13407768,23.63890457
Go,send-static-file,2.01970601,7.28948689,5.73903561,0.13303992,23.88893318
Go,send-static-file,2.03709817,7.35860252,5.80527020,0.13478673,23.82658768
Go,send-static-file,2.03885078,7.38876629,5.78782606,0.13494171,23.72970390
Go,send-static-file,2.05504394,7.51830864,5.85613012,0.13481501,24.20075226
Go,send-static-file,2.03020406,7.30282688,5.78067398,0.13483104,23.62016487
Go,send-static-file,2.02099085,7.27493954,5.73146439,0.13350911,23.73038673
Go,send-static-file,2.02473426,7.35678911,5.77467775,0.13204639,23.72369385
Go,send-static-file,2.06106234,7.43714619,5.84174871,0.13637021,25.84624290
Go,send-static-file,2.04775000,7.34202909,5.79745531,0.13419448,23.62004471
Go,send-static-file,2.02763414,7.30543041,5.76414061,0.13322267,23.68725967
